Name,Type,County,Form of government,Population,Year,latitude,longitude
Orange,Town,Franklin,Open town meeting,"7,839",1810,42.5903646,-72.3098068
Orleans,Town,Barnstable,Open town meeting,"5,890",1797,41.7898313,-69.9897397
Otis,Town,Berkshire,Open town meeting,"1,612",1773,42.1931453,-73.0917715
Oxford,Town,Worcester,Open town meeting,"13,709",1713,42.1167621,-71.8647941
Palmer,City,Hampden,Council-manager,"12,140",1775,42.19310175,-72.3126212882452
Paxton,Town,Worcester,Open town meeting,"4,806",1775,42.3163577,-71.9475044059187
Peabody,City,Essex,Mayor-council,"51,251",1868,42.5278731,-70.9286609
Pelham,Town,Hampshire,Open town meeting,"1,321",1743,42.3931456,-72.4036961
Pembroke,Town,Plymouth,Open town meeting,"17,837",1712,42.0714907,-70.8092074
Pepperell,Town,Middlesex,Open town meeting,"11,497",1775,42.6659227,-71.5884018
Peru,Town,Berkshire,Open town meeting,847,1771,-6.7048933,-44.46442
Petersham,Town,Worcester,Open town meeting,"1,234",1754,42.4875891,-72.1870258
Phillipston,Town,Worcester,Open town meeting,"1,682",1786,42.5486993,-72.1328582
Pittsfield,City,Berkshire,Mayor-council,"44,737",1761,42.4500967,-73.2453785
Plainfield,Town,Hampshire,Open town meeting,648,1807,42.5153633,-72.9162075
Plainville,Town,Norfolk,Open town meeting,"8,264",1905,42.0042656,-71.3328331
