Name,Type,County,Form of government,Population,Year,latitude,longitude
Wayland,Town,Middlesex,Open town meeting,"12,994",1780,42.3632063,-71.3606721
Webster,Town,Worcester,Open town meeting,"16,767",1832,42.0500965,-71.880072
Wellesley,Town,Norfolk,Representative town meeting,"27,982",1881,42.2964859,-71.2925571
Wellfleet,Town,Barnstable,Open town meeting,"2,750",1775,41.9376051,-70.0327996
Wendell,Town,Franklin,Open town meeting,848,1781,42.5481429,-72.3967524
Wenham,Town,Essex,Open town meeting,"4,875",1643,42.604261,-70.8911613
West Boylston,Town,Worcester,Open town meeting,"7,669",1808,42.3667589,-71.785627
West Bridgewater,Town,Plymouth,Open town meeting,"6,916",1822,42.0189894,-71.0078215
West Brookfield,Town,Worcester,Open town meeting,"3,701",1848,42.2353704,-72.1411888
West Newbury,Town,Essex,Open town meeting,"4,235",1819,42.8014795,-70.989778
West Springfield,City,Hampden,Mayor-council,"28,391",1774,42.1070383,-72.6203675
West Stockbridge,Town,Berkshire,Open town meeting,"1,306",1775,42.3459194,-73.3662204
West Tisbury,Town,Dukes,Open town meeting,"2,740",1892,41.3812245,-70.6744723
Westborough,Town,Worcester,Open town meeting,"18,272",1717,42.2694308,-71.6129907
Westfield,City,Hampden,Mayor-council,"41,094",1669,42.1250929,-72.7495381
Westford,Town,Middlesex,Open town meeting,"21,951",1729,42.5792583,-71.4378411
Westhampton,Town,Hampshire,Open town meeting,"1,607",1778,42.3028667,-72.7745382
Westminster,Town,Worcester,Open town meeting,"7,277",1770,42.5459227,-71.9106308
Weston,Town,Middlesex,Open town meeting,"11,261",1713,42.3667625,-71.3031132
Westport,Town,Bristol,Open town meeting,"15,532",1787,41.55208825,-71.0785654088319
Westwood,Town,Norfolk,Open town meeting,"14,618",1897,42.2139873,-71.2244987
Weymouth,City,Norfolk,Mayor-council,"53,743",1635,42.2212188,-70.9391625
Whately,Town,Franklin,Open town meeting,"1,496",1771,42.4398101,-72.6348118
Whitman,Town,Plymouth,Open town meeting,"14,489",1875,42.0806617,-70.935599
Wilbraham,Town,Hampden,Open town meeting,"14,219",1763,42.1235479,-72.4312169
Williamsburg,Town,Hampshire,Open town meeting,"2,482",1775,42.3931434,-72.7300917
Williamstown,Town,Berkshire,Open town meeting,"7,754",1765,42.712207,-73.2035986
Wilmington,Town,Middlesex,Open town meeting,"22,325",1730,42.5464828,-71.1736669
Winchendon,Town,Worcester,Open town meeting,"10,300",1764,42.6861973,-72.0439686
Winchester,Town,Middlesex,Representative town meeting,"21,374",1850,42.4523178,-71.1369982
Windsor,Town,Berkshire,Open town meeting,899,1771,42.5117517,-73.0578779
Winthrop,City,Suffolk,Council-manager,"17,497",1852,42.3750976,-70.982827
Woburn,City,Middlesex,Mayor-aldermen,"38,120",1642,42.4792618,-71.1522766
Worcester,City,Worcester,Mayor-manager-council,"1,81,045",1684,42.2625932,-71.8022934
Worthington,Town,Hampshire,Open town meeting,"1,156",1768,42.39034175,-72.9362849243794
Wrentham,Town,Norfolk,Open town meeting,"10,955",1673,42.0667652,-71.3281114
Yarmouth,Town,Barnstable,Open town meeting,"23,793",1639,41.7056656,-70.2286314
